day,date,cumulative_confirmed_cases
0,3/14/20,3
1,3/15/20,6
2,3/16/20,6
3,3/17/20,7
4,3/18/20,7
5,3/19/20,11
6,3/20/20,16
7,3/21/20,19
8,3/22/20,23
9,3/23/20,27
10,3/24/20,53
11,3/25/20,93
12,3/26/20,132
13,3/27/20,137
14,3/28/20,141
15,3/29/20,152
16,3/30/20,152
17,3/31/20,161
18,4/1/20,195
19,4/2/20,204
20,4/3/20,205
21,4/4/20,205
22,4/5/20,214
23,4/6/20,214
24,4/7/20,287
25,4/8/20,313
26,4/9/20,378
27,4/10/20,378
28,4/11/20,408
29,4/12/20,566
30,4/13/20,566
31,4/14/20,636
32,4/15/20,636
33,4/16/20,641
34,4/17/20,641
35,4/18/20,834
36,4/19/20,1042
37,4/20/20,1042
38,4/21/20,1042
39,4/22/20,1154
40,4/23/20,1154
41,4/24/20,1279
42,4/25/20,1279
43,4/26/20,1550
44,4/27/20,1550
45,4/28/20,1671
46,4/29/20,1671
47,4/30/20,2074
48,5/1/20,2074
49,5/2/20,2169
50,5/3/20,2169
51,5/4/20,2719
52,5/5/20,2719
53,5/6/20,3091
54,5/7/20,3091
55,5/8/20,4012
56,5/9/20,4263
57,5/10/20,4263
58,5/11/20,4700
59,5/12/20,5127
60,5/13/20,5408
61,5/14/20,5530
62,5/15/20,5638
63,5/16/20,5735
64,5/17/20,5735
65,5/18/20,5735
66,5/19/20,6096
67,5/20/20,6269
68,5/21/20,6269
69,5/22/20,6486
70,5/23/20,6617
71,5/24/20,6683
72,5/25/20,6808
73,5/26/20,7117
74,5/27/20,7303
75,5/28/20,7303
76,5/29/20,7616
77,5/30/20,7768
78,5/31/20,8070
79,6/1/20,8070
80,6/2/20,8297
81,6/3/20,8548
82,6/4/20,8885
83,6/5/20,9168
84,6/6/20,9462
85,6/7/20,9638
86,6/8/20,9910
87,6/9/20,10201
88,6/10/20,10201
89,6/11/20,10358
90,6/12/20,10856
91,6/13/20,11118
92,6/14/20,11964
93,6/15/20,11964
94,6/16/20,12193
95,6/17/20,12590
96,6/18/20,12929
97,6/19/20,13203
98,6/20/20,13717
99,6/21/20,14154
100,6/22/20,14154
101,6/23/20,14568
102,6/24/20,15013
103,6/25/20,15473
104,6/26/20,15834
105,6/27/20,16431
106,6/28/20,16742
107,6/29/20,17351
108,6/30/20,17741
109,7/1/20,18134
110,7/2/20,18134
111,7/3/20,19388
112,7/4/20,19388
113,7/5/20,20085
114,7/6/20,21077
115,7/7/20,21968
116,7/8/20,22822
117,7/9/20,23463
118,7/10/20,23834
119,7/11/20,24248
120,7/12/20,24518
121,7/13/20,24988
122,7/14/20,24988
123,7/15/20,25430
124,7/16/20,26125
125,7/17/20,26572
126,7/18/20,27060
127,7/19/20,27667
128,7/20/20,28430
129,7/21/20,28989
130,7/22/20,29672
131,7/23/20,29672
132,7/24/20,31057
133,7/25/20,31851
134,7/26/20,32969
135,7/27/20,33624
136,7/28/20,34406
137,7/29/20,35142
138,7/30/20,35142
139,7/31/20,35501
140,8/1/20,37014
141,8/2/20,37014
142,8/3/20,37812
143,8/4/20,37812
144,8/5/20,39075
145,8/6/20,39642
146,8/7/20,40097
147,8/8/20,40533
148,8/9/20,41003
149,8/10/20,41212
150,8/11/20,41404
151,8/12/20,41572
152,8/13/20,41725
153,8/14/20,41847
154,8/15/20,42210
155,8/16/20,42532
156,8/17/20,42653
157,8/18/20,42993
158,8/19/20,43094
159,8/20/20,43260
160,8/21/20,43325
161,8/22/20,43325
162,8/23/20,43505
163,8/24/20,43622
164,8/25/20,43717
165,8/26/20,43769
166,8/27/20,43841
167,8/28/20,43949
168,8/29/20,44118
169,8/30/20,44205
170,8/31/20,44298
171,9/1/20,44460
172,9/2/20,44658
173,9/3/20,44713
174,9/4/20,44777
175,9/5/20,44777
176,9/6/20,44777
177,9/7/20,44869
178,9/8/20,45012
179,9/9/20,45313
180,9/10/20,45313
181,9/11/20,45388
182,9/12/20,45434
183,9/13/20,45434
184,9/14/20,45601
185,9/15/20,45655
186,9/16/20,45655
187,9/17/20,45714
188,9/18/20,45760
189,9/19/20,45877
190,9/20/20,46004
191,9/21/20,46062
192,9/22/20,46062
193,9/23/20,46153
194,9/24/20,46222
195,9/25/20,46222
196,9/26/20,46222
197,9/27/20,46387
198,9/28/20,46444
199,9/29/20,46482
200,9/30/20,46626
201,10/1/20,46656
202,10/2/20,46694
203,10/3/20,46803
204,10/4/20,46829
205,10/5/20,46829
206,10/6/20,46829
207,10/7/20,46829
208,10/8/20,46947
209,10/9/20,46987
210,10/10/20,47005
211,10/11/20,47005
212,10/12/20,47030
213,10/13/20,47126
214,10/14/20,47126
215,10/15/20,47173
